IdCiudad,Abr,Nombre,Capital,Lada,Tot_mun,Hombres,Mujeres,Gobernador,Partido,Inicio,Fin
1,Ags,AGUASCALIENTES,AGUASCALIENTES,449,11,696683,728924,Martín Orozco Sandoval,PAN,01/12/2016,30/09/2021
2,BC,BAJA CALIFORNIA,MEXICALI,686,5,1900589,1868431,Jaime Bonilla Valdez,MORENA,01/11/2019,31/10/2021
3,BCS,BAJA CALIFORNIA SUR,LA PAZ,612,5,405879,392568,Carlos Mendoza Davis,PAN,10/09/2015,09/09/2021
4,Camp,CAMPECHE,CAMPECHE,981,11,456939,471424,Carlos Miguel Aysa González,PRI,13/06/2019,15/09/2021
5,Coah,COAHUILA,SALTILLO,844,38,1563669,1583102,Rutilio Escandón,MORENA,08/12/2018,07/12/2024
6,Col,COLIMA,COLIMA,312,10,360622,370769,Javier Corral Jurado,PAN,04/10/2016,07/09/2021
7,Chis,CHIAPAS,TUXTLA GUTIERREZ,961,118,2705947,2837881,Claudia Sheinbaum,MORENA,05/12/2018,04/12/2024
8,Chih,CHIHUAHUA,CHIHUAHUA,614,67,1853822,1888047,Miguel Ángel Riquelme Solís,PRI,01/12/2017,30/11/2023
9,DF,DISTRITO FEDERAL,,55,16,4404927,4805017,José Ignacio Peralta,PRI,11/02/2016,31/10/2021
10,Dgo,DURANGO,DURANGO,674,39,904866,927784,José Rosas Aispuro,PAN,15/09/2016,14/09/2022
11,Gto,GUANAJUATO,GUANAJUATO,473,46,2996454,3170480,Diego Sinhué Rodríguez Vallejo,PAN,26/09/2018,25/09/2024
12,Gro,GUERRERO,CHILPANCINGO.,747,81,1700612,1840073,Héctor Astudillo Flores,PRI,27/10/2015,26/10/2021
13,Hgo,HIDALGO,PACHUCA,771,84,1481379,1601462,Omar Fayad,PRI,05/09/2016,04/09/2022
14,Jal,JALISCO,GUADALAJARA,33,125,4098455,4249696,Enrique Alfaro Ramírez,MC,06/12/2018,05/12/2024
15,Mex,MEXICO,TOLUCA,722,125,8251295,8741123,Alfredo del Mazo Maza,PRI,15/09/2017,14/09/2023
16,Mich,MICHOACAN,MORELIA,443,113,2306341,2442505,Silvano Aureoles Conejo,PRD,01/10/2015,30/09/2021
17,Mor,MORELOS,CUERNAVACA,777,33,950847,1020673,Cuauhtémoc Blanco,ES,01/10/2018,30/09/2024
18,Nay,NAYARIT,TEPIC,311,20,612278,623178,Antonio Echevarría García,PAN,19/09/2017,18/09/2021
19,NL,NUEVO LEON,MONTERREY,81,51,2890950,2893492,Jaime Rodríguez Calderón,IND,04/10/2015,03/10/2021
20,Oax,OAXACA,OAXACA,951,570,1974843,2157305,Alejandro Murat Hinojosa,PRI,01/12/2016,30/11/2022
21,Pue,PUEBLA,PUEBLA,NULL,217,3160115,3423163,Miguel Barbosa Huerta,MORENA,01/08/2019,01/12/2024
22,Qro,QUERETARO,QUERETARO,NULL,18,1156820,1211647,Francisco Domínguez Servién,PAN,01/10/2015,30/09/2021
23,QRoo,QUINTANA ROO,CHETUMAL.,NULL,8,936779,921206,Carlos Joaquín González,PRD,25/09/2016,24/09/2022
24,SLP,SAN LUIS POTOSI,SAN LUIS POTOSI,444,58,1372451,1449804,Juan Manuel Carreras,PRI,26/09/2015,25/09/2021
25,Sin,SINALOA,CULIACAN,667,18,1494815,1532128,Quirino Ordaz Coppel,PRI,01/01/2017,31/12/2022
26,Son,SONORA,HERMOSILLO,662,72,1472197,1472643,Claudia Pavlovich Arellano,PRI,13/09/2015,12/09/2021
27,Tab,TABASCO,VILLAHERMOSA.,NULL,17,1173671,1228927,Adán Augusto López Hernández,MORENA,01/01/2019,30/09/2024
28,Tamps,TAMAULIPAS,CIUDAD VICTORIA.,NULL,43,1736140,1791595,Francisco Javier García Cabeza de Vaca,PAN,01/10/2016,30/09/2021
29,Tlax,TLAXCALA,TLAXCALA,246,60,649894,693083,Marco Antonio Mena Rodríguez,PRI,01/01/2017,30/08/2021
30,Ver,VERACRUZ,XALAPA,228,212,3871774,4190805,Cuitláhuac García Jiménez,MORENA,01/12/2018,30/11/2024
31,Yuc,YUCATAN,MERIDA,999,106,1140279,1180619,Mauricio Vila Dosal,PAN,01/10/2018,30/09/2024
32,Zac,ZACATECAS,ZACATECAS,492,58,791058,831080,Alejandro Tello Cristerna,PRI,12/09/2016,11/09/2021
